Product Name,Product ID
AMBEWELA SET YOGHURT 80ML,0
HIGHLAND BUTTER SALTED 200G,1
CARGILLS CHOCOLATE ICE CREAM 2L,2
CARGILLS CHOCOLATE ICE CREAM 1L,3
CARGILLS VANILLA ICE CREAM 2L,4
CARGILLS VANILLA ICE CREAM 1L,5
ELEPHANT HOUSE CHOCOALTE ICE CREAM 1L,6
ELEPHANT HOUSE CHOCOALTE ICE CREAM 2L,7
COCACOLA 1.5L,8
ELEPHANT HOUSE CHOCOALTE ICE CREAM 4L,9
FANTA 1.5L,10
HAPPY COW CHEESE 120G,11
HARISCHANDRA COFFEE 100G,12
HARISCHANDRA COFFEE 50G,13
HARISCHANDRA COFFEE 200G,14
KOTMALE CHEESE WEDGES 120G,15
LION SODA 1.5L,16
NEWDALE SET YOGHURT 80G,17
PORTELLO 1.5L,18
PRIMA WHEAT FLOUR 1KG,19
SPRITE 1.5L,20
ELEPHANT HOUSE STRAWBERRY ICE CREAM 2L,21
ELEPHANT HOUSE STRAWBERRY ICE CREAM 4L,22
ELEPHANT HOUSE STRAWBERRY ICE CREAM 1L,23
UDAYAGIRI WHEAT FLOUR 1KG,24
ELEPHANT HOUSE VANILA ICE CREAM 2L,25
ELEPHANT HOUSE VANILA ICE CREAM 4L,26
ELEPHANT HOUSE VANILA ICE CREAM 1L,27
HIGHLAND YOGHURT 80ML,28
